2026-02-06 10:44:38,322 - sentiment_monitor - INFO - Log delle predizioni cancellato
2026-02-06 10:46:31,379 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.8761
2026-02-06 10:46:31,444 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.8691
2026-02-06 10:46:31,545 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.9265
2026-02-06 10:46:31,648 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.7853
2026-02-06 10:46:31,797 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6204
2026-02-06 10:46:31,924 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6404
2026-02-06 10:46:32,035 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5410
2026-02-06 10:46:32,131 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.9316
2026-02-06 10:46:32,248 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.8614
2026-02-06 10:46:32,342 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6629
2026-02-06 10:46:32,435 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5035
2026-02-06 10:46:32,517 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5575
2026-02-06 10:46:32,604 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.5464
2026-02-06 10:46:32,683 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9275
2026-02-06 10:46:32,771 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.7331
2026-02-06 10:46:32,864 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6309
2026-02-06 10:46:32,945 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.6271
2026-02-06 10:46:33,045 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5370
2026-02-06 10:46:33,125 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.7677
2026-02-06 10:46:33,216 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5222
2026-02-06 10:46:33,302 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9685
2026-02-06 10:46:33,408 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6341
2026-02-06 10:46:33,506 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6572
2026-02-06 10:46:33,582 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8361
2026-02-06 10:46:33,663 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.8578
2026-02-06 10:46:33,747 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.7813
2026-02-06 10:46:33,828 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.7879
2026-02-06 10:46:33,918 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6096
2026-02-06 10:46:33,993 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.7527
2026-02-06 10:46:34,099 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.9206
2026-02-06 10:46:34,205 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.7752
2026-02-06 10:46:34,287 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.8266
2026-02-06 10:46:34,387 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.7895
2026-02-06 10:46:34,533 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6267
2026-02-06 10:46:34,609 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5152
2026-02-06 10:46:34,718 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5331
2026-02-06 10:46:34,790 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.9316
2026-02-06 10:46:34,863 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.7531
2026-02-06 10:46:34,955 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.7120
2026-02-06 10:46:35,026 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9874
2026-02-06 10:46:35,115 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5364
2026-02-06 10:46:35,203 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6592
2026-02-06 10:46:35,284 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5409
2026-02-06 10:46:35,379 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.7981
2026-02-06 10:46:35,482 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.4891
2026-02-06 10:46:35,562 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.7165
2026-02-06 10:46:35,635 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6031
2026-02-06 10:46:35,708 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5735
2026-02-06 10:46:35,807 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5172
2026-02-06 10:46:35,901 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.7767
2026-02-06 10:46:36,021 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6852
2026-02-06 10:46:36,107 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5901
2026-02-06 10:46:36,212 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9545
2026-02-06 10:46:36,302 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.4825
2026-02-06 10:46:36,402 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6678
2026-02-06 10:46:36,488 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6722
2026-02-06 10:46:36,557 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5316
2026-02-06 10:46:36,639 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5056
2026-02-06 10:46:36,724 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5298
2026-02-06 10:46:36,819 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5005
2026-02-06 10:46:36,889 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8590
2026-02-06 10:46:36,981 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6537
2026-02-06 10:46:37,054 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9044
2026-02-06 10:46:37,178 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.9540
2026-02-06 10:46:37,278 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9924
2026-02-06 10:46:37,386 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8885
2026-02-06 10:46:37,474 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.7466
2026-02-06 10:46:37,550 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8313
2026-02-06 10:46:37,631 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9051
2026-02-06 10:46:37,702 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5811
2026-02-06 10:46:37,774 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.6023
2026-02-06 10:46:37,853 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5883
2026-02-06 10:46:37,934 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9883
2026-02-06 10:46:38,053 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5686
2026-02-06 10:46:38,151 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5994
2026-02-06 10:46:38,250 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.7923
2026-02-06 10:46:38,319 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8058
2026-02-06 10:46:38,417 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5190
2026-02-06 10:46:38,608 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6894
2026-02-06 10:46:38,733 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9808
2026-02-06 10:46:38,937 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.8520
2026-02-06 10:46:39,091 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9614
2026-02-06 10:46:39,213 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.5790
2026-02-06 10:46:39,384 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5018
2026-02-06 10:46:39,724 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.4775
2026-02-06 10:46:39,943 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8079
2026-02-06 10:46:40,029 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.4593
2026-02-06 10:46:40,124 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5928
2026-02-06 10:46:40,231 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8968
2026-02-06 10:46:40,320 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.6494
2026-02-06 10:46:40,425 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.4652
2026-02-06 10:46:40,528 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.7010
2026-02-06 10:46:40,607 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5727
2026-02-06 10:46:40,709 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.7663
2026-02-06 10:46:40,822 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5561
2026-02-06 10:46:40,899 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5802
2026-02-06 10:46:40,995 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.9325
2026-02-06 10:46:41,076 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.5191
2026-02-06 10:46:41,164 - sentiment_monitor - INFO - Predizione loggata: sentiment=Neutro, confidence=0.8899
2026-02-06 10:46:41,256 - sentiment_monitor - INFO - Predizione loggata: sentiment=Negativo, confidence=0.5670
2026-02-06 10:49:40,100 - sentiment_monitor - INFO - Log delle predizioni cancellato
2026-02-06 10:49:40,101 - sentiment_monitor - INFO - Predizione loggata: sentiment=Positivo, confidence=0.9000
